artifact_name,artifact_link
A-CMA,"https://github.com/eknkc/a-cma
https://github.com/mmohan01/a-cma
https://hrahmadi71.github.io/a-cma/"
A-CMA DQN,https://hrahmadi71.github.io/a-cma/
ADACONTROL,https://www.adalog.fr/en/adacontrol.html
AI REVIEWER,http://www.aireviewer.com
ANACONDEBT,https://ericsson.anacondebt.com/
APACHE JMETER,http://jmeter.apache.org/
ARCADE,Not Accessible
ARCAN,https://gitlab.com/essere.lab.public/arcan
ARCAN FOR C/C++,https://essere.disco.unimib.it/wiki/arcan/
ARCHINAUT,http://software-archinaut.com/
ASTRACKER,https://github.com/darius-sas/astracker
ATDX,"https://github.com/S2-group/ATDx_replication_package
https://github.com/ATDindeX/ATDx"
ATDX:,https://github.com/S2-group/ATDx
AUTO-SKLEARN,https://automl.github.io/auto-sklearn/master/
BETTERCODEHUB,https://bettercodehub.com
CAST,http://www.castsoftware.com/
CAST SOFTWARE,https://www.castsoftware.com/
CBR INSIGHT,https://github.com/StottlerHenke
CHECKSTYLE,http://checkstyle.sourceforge.net/checks.html
CK,https://github.com/mauricioaniche/ck
CK [26],https://github.com/mauricioaniche/ck
CKJM,http://gromit.iiar.pwr.wroc.pl/p_inf/ckjm/
CLANG STATIC ANALYZER,https://clang-analyzer.llvm.org/
CLANG TIDY,https://clang.llvm.org/extra/clang-tidy.
CLIO,http://www.cs.umd.edu/~basili/hpcs/index.php_id=21
CLOC,https://github.com/AlDanial/cloc#quick-start-
COBERTURA,http://msdn.microsoft.com/en-us/library/bb429476.aspx
CODACY,https://www.codacy.com/
CODE INSPECTOR,https://help.sap.com/doc/saphelp_nw74/7.4.16/en-us/49/205531d0fc14cfe10000000a42189b/frameset.htm
CODEARENA,https://github.com/SimonBaars/CodeArena
CODEFACE4SMELLS,https://github.com/maelstromdat/CodeFace4Smells
CODEFLOW,https://www.getcodeflow.com/
CODEMR,https://www.codemr.co.uk/
CODEMRI,https://codemri.com/
CODESCENE,https://codescene.io/
CODESONARTM,https://www.grammatech.com/codesonar-cc
CODESURFER,https://www.cppdepend.com/
CODEVIZARD,http://www.cs.umd.edu/~basili/hpcs/index.php_id=21
COMMENT_PARSER,https://pypi.python.org/pypi/comment_parser
CONVULATIONAL NEURAL NETWORKS WITH TENSORFLOW,https://github.com/dennybritz/cnn-text-classification-tf
COVERITY,nan
COVERITY SCAN,https://scan.coverity.com
COVERITYSCAN,https://scan.coverity.com
CPPCHECK,http://cppcheck.sourceforge.net
CPPDEPEND,https://www.cppdepend.com/
CSDETECTOR,https://github.com/maelstromdat/CodeFace4Smells
CYTOSCAPE,https://cytoscape.org/
DBDEO,https://github.com/tushartushar/DbDeo
DBQUERIES,https://github.com/erki77/database-design-queries
DEBTFLAG,Not Accessible
DEBTFREE,https://github. com/HuyTu7/DebtFree
DEBTGREP,Not Accessible
DEBTHUNTER,https://github.com/PandaMinore/DebtHunter-Tool
DECOR,Not Accessible
DEPENDS,https://github.com/multilang-depends/depends
DERECGEA,https://github.com/teomaik/DeRec-GEA
DESIGNITE,http://www.designite-tools.com
DESIGNITE JAVA,https://www.designite-tools.com/designitejava/
DESIGNITEJAVA,https://www.designite-tools.com/designitejava/
DV8,https://archdia.com/
E-DEBITUM,https://github.com/e-debitum/E-Debitum-tool
ehsanzabardast/code_tdi_survivability,https://github.com/ehsanzabardast/code_tdi_survivability
EMF REFACTOR,https://www.eclipse.org/emf-refactor/
ENTERPRISE ARCHITECT,https://sparxsystems.com/products/ea/
ESLINT,https://eslint.org
ETHLINT,https://github.com/duaraghav8/Ethlint
EXA2PRO,https://github.com/nikosnikolaidis/Exa2Pro-Plugin
FABRICATOR,https://secure.phabricator.com/
FINDBUGS,http://findbugs.sourceforge.net/
FIXME,https://www.fixmebot.app/
FXCOP,http://msdn.microsoft.com/en-us/library/bb429476.aspx
GDI HANDLE,http://blogs.msdn.com/b/dsui_team/archive/2013/04/23/debugging-a-gdi-resource-leak.aspx.
GEPHI,https://gephi.org/
GERRIT,https://www.gerritcodereview.com/
GITLOG,Not Accessible
GLMNET,https://cran.r-project.org/web/packages/glmnet/index.html
HADOLINT,https://github.com/hadolint/hadolint
IBM RATIONAL PURIFY,https://www.almtoolbox.com/purify.php
INFUSION,http://www.intooitus.com/products/infusion
INTEL THREAD CHECKER,Not Accessible
INTELLIJ IDEA,https://www.jetbrains.com/idea/
IPLASMA,https://www.microfocus.com/en-us/products/together/overview
JAEGER,https://www.jaegertracing.io
JAVANCSS,https://github.com/nokia/javancss
JDEODORANT,"https://github.com/tsantalis/JDeodorant
https://users.encs.concordia.ca/~nikolaos/jdeodorant/"
JDEPENDS,https://github.com/clarkware/jdepend
jieshanshan/ist-si-sftd,https://github.com/jieshanshan/ist-si-sftd
jieshanshan/SEAA2020,https://github.com/jieshanshan/SEAA2020
jieshanshan/TD-Apache-Python,https://github.com/jieshanshan/TD-Apache-Python
jieshanshan/TechDebt2020,https://github.com/jieshanshan/TechDebt2020
JIRA,https://www.atlassian.com/software/jira
JITTERBUG,https://github.com/ai-se/Jitterbug
JMETER,https://jmeter.apache.org/
JSPIRIT,https://sites.google.com/site/santiagoavidal/projects/jspirit
KALEIDOSCOPE,http://kaleidoscopetool.org/
KERAS,https://keras.io
KIUWAN,https://www.kiuwan.com/
KLOCWORK,http://www.klocwork.com
LATTIX,https://www.lattix.com/
LONG SHORT-TERM MEMORY,Not Accessible
LOUVAIN-IGRAPH,https://github.com/vtraag/louvain-igraph
M3SOulu/KLSATD_SEAA_2020,https://github.com/M3SOulu/KLSATD_SEAA_2020
MACHINE LEARNING MODEL,Not Accessible
MACHINE LEARNING PACKAGES R,"https://cran.r-project.org/package=klaR
https://cran.r-project.org/package=C50
https://cran.r-project.org/package=randomForest
https://cran.r-project.org/package=kernlab
https://cran.r-project.org/package=caret"
MANTICORE,https://github.com/trailofbits/manticore
MANTIS,http://www.mantisbt.org.
MASSEY ARCHITECTURE EXPLORER,http://xplrarc.massey.ac.nz/
METRICSRELOADED INTELLIJ PLUGIN,https://plugins.jetbrains.com/plugin/93-metricsreloaded
MUSE,Not Accessible
MYTHOS,Not Accessible
MYTHRIL,https://github.com/ConsenSys/mythril
NDEPEND,https://www.ndepend.com/.
NEO4J,https://neo4j.com/
NGWEIGHT,https://github.com/iwnsew/ngweight
NLON,https://github.com/M3SOulu/NLoN
NOT CITED,https://doi.org/10.6084/m9.figshare.12890864.
NOT SPECIFEID,http://www.cs.rug.nl/search/Resources/Resources
OPEN SZZ,https://github.com/clowee/OpenSZZ
PCLINT,https://pclintplus.com/
PERFMON,https://learn.microsoft.com/en-us/windows-server/administration/windows-commands/perfmon
PHPMD,https://phpmd.org/
PIRANHA,https://github.com/uber/piranha
PLUGIN FOR SONARQUBE,https://github.com/davidetaibi/sonarqube-anti-patterns-code-smells
PMD,"https://pmd.github.io/
http://pmd.sourceforge.net "
PMDâ€™S COPY/PASTE DETECTOR,https://pmd.github.io/latest/pmd_userdocs_cpd.html
PORTER STEMMER,https://tartarus.org/martin/PorterStemmer/
PRIORIZATION APPROACH,https://github.com/brunoslima/SATDPriorityParse
PROBOT (FRAMEWORK TO DEVELOP APPS FOR AUTOMATE GITHUB WORKFLOW),https://github.com/probot/probot
PRODEBT,http://www.prodebt.de/
PROPOSED BY THE AUTHOR,https://github.com/tkdsheep/TechnicalDebt
PTIDEJ,https://www.ptidej.net/
PUPPET-LINT,https://github.com/tushartushar/Puppeteer
PUPPETEER,https://github.com/tushartushar/Puppeteer
PYDRILLER,https://pydriller.readthedocs.io/en/latest/
PYLINT,https://www.pylint.org/
QSCORED,https://qscored.com/
RADON,https://radon.readthedocs.io/en/latest/index.html
REFACTORING-BOT,https://github.com/Refactoring-Bot
REFACTORINGMINER,https://github.com/tsantalis/RefactoringMiner
REPOSITORY EVALUATION TOOLCHAIN,https://github.com/gssi/metamodel-dataset-analysis-toolchain
RESHARPER,https://www.jetbrains.com/help/resharper/ReSharper_Command_Line_Tools.html
RESOURCE STANDARD METRICS,www.msquaredtechnologies.com.
RMINER,https://github.com/tsantalis/RefactoringMiner
SARIF,https://www.oasis-open.org/committees/tc_home.php?wg_abbrev=SARIF
SATD DETECTOR,"https://github.com/Tbabm/SATDDetector-Core
https://drive.google.com/drive/folders/1k2o4BsNt9O2v7c4P7ktlDbBmFiYEY--K"
SATDBAILIFF,https://github.com/smilevo/SATDBailiff
SCC,https://github.com/boyter/scc
SCIKIT-LEARN,https://scikit-learn.org/stable/
SDK4ED,https://sdk4ed.eu/
SEARCH-BASED SELF-ADAPTIVE SOFTWARE ENGINE (SSASE),https://github.com/taochen/ssase
SECURIFY,https://github.com/eth-sri/securify2
SEN4SMELLS,https://github.com/tommantonela/Sen4Smells
SFUZZ,https://contract.guardstrike.com/#/scan
SHELL CHECKER,https://github.com/koalaman/shellcheck
SIGRID,https://www.softwareimprovementgroup.com/solutions/sigrid-software-assurance-platform/
SIKULI,http://sikulix.com//
SIMIAN,www.harukizaemon.com/simian/
SKULD,https://www.skuld.ai/
SLITHER,https://github.com/crytic/slither
SMARTCHECK,https://github.com/smartdec/smartcheck
SOFTWARE ARCHINAUT,http://software-archinaut.com/
SOLHINT,https://github.com/protofire/solhint
SONAR,http://sonar
SONAR TD PLUGIN,http://msdn.microsoft.com/en-us/library/bb429476.aspx
SONAR-ISSUES-MINER,https://github.com/dvmarcilio/sonar-issues-miner
SONARCLOUD,https://sonarcloud.io/
SONARGRAPH,https://www.hello2morrow.com/products/sonargraph
SONARGRAPH-QUALITY,https://www.hello2morrow.com/products/sonargraph
SONARLINT,https://www.sonarsource.com/products/sonarlint/
SONARQUBE,https://www.sonarqube.org/
SOURCE MONITOR,https://www.campwoodsw.com/sourcemonitor.html/
SPACY,https://spacy.io/
SQALE PLUGIN OF THE SONAR,https://www.sonarplugins.com/sqale
SQUORE,https://www.squoring.com/en/produits/squore-software-analytics/
STAN,https://stan4j.com/
STRUCTURE 101,https://structure101.com/
STRUCTURE101,https://structure101.com/
SUCCINCT CODE COUNTER,https://github.com/boyter/scc
SYMFONYINSIGHT,https://insight.symfony.com/
TD BENCHMARKER,https://github.com/theoam/TDBenchmarker
TD-TRACKER,http://www2.fct.unesp.br/grupos/
TEAMSCALE,"www.teamscale.io
https://www.cqse.eu/en/products/teamscale/landing/"
TECHNICAL DEBT FORECASTING,https://sites.google.com/view/technical-debt-forecasting/main?authuser=0
TEDMA,Not Accessible
TENSORFLOW,https://www.tensorflow.org
TETRA,Not Accessible
TODO,https://todo.jasonet.co/
TOGETHER,https://www.microfocus.com/en-us/products/together/overview
UNDERSTAND,www.scitools.com
VISMINERTD,https://visminer.github.io
VISUAL PARADIGM,https://www.visual-paradigm.com/
VIZZMAINTAINANCE ECLIPSE PLUGIN.,http://www.arisa.se/products.php?lang=en
WORD2VEC,https://www.tensorflow.org/tutorials/text/word2vec